Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Tranche d’âge (product.metafields.shopify.age-group),Options de fixation (product.metafields.shopify.attachment-options),Conception du bracelet (product.metafields.shopify.bracelet-design),Couleur (product.metafields.shopify.color-pattern),Conception de boucle d’oreille (product.metafields.shopify.earring-design),Tissu (product.metafields.shopify.fabric),Couleur de l’encre (product.metafields.shopify.ink-color),Matériau du bijou (product.metafields.shopify.jewelry-material),Type de bijoux (product.metafields.shopify.jewelry-type),Matériel (product.metafields.shopify.material),Couleur du stylo (product.metafields.shopify.pen-color),Conception de la pointe du stylo (product.metafields.shopify.pen-tip-design),Sexe cible (product.metafields.shopify.target-gender),Parfum des lingettes (product.metafields.shopify.wipe-fragrance),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
coffret-parure-coeur-bracelet-boucles-assorties-fait-main,Coffret Parure Cœur – Bracelet & Boucles assorties – Fait main,"<p>Parure Cœur faite main composée d’un bracelet réglable et d’une paire de créoles assorties.</p>
<p>Chaque pièce est entièrement réalisée à la main en pâte polymère, ce qui rend chaque modèle unique. Les petits cœurs sont façonnés avec soin, dans des teintes modernes et lumineuses, sublimées par de délicates touches dorées. Les créoles sont en acier inoxydable, résistants et adaptés à un usage quotidien.</p>
<p>Le bracelet est monté sur un lien réglable qui s’adapte facilement à tous les poignets, aussi bien pour une femme que pour une petite fille. Les créoles, légères et agréables à porter, apportent une touche tendance et féminine à l’ensemble.</p>
<p>Cette parure est idéale pour offrir ou se faire plaisir avec un bijou original, coloré et fait avec amour. Elle convient parfaitement pour un duo mère-fille ou simplement pour toutes celles qui aiment les accessoires doux et pétillants.</p>
<p>Conseils d’entretien : <br>Pour préserver la beauté de vos bijoux, évitez le contact avec l’eau, les produits ménagers, les crèmes et le parfum.</p>
<p>• Bracelet réglable (convient femme et enfant) <br>• Paire de créoles assorties <br>• Bijoux en pâte polymère faits main <br>• Créoles en acier inoxydable <br>• Chaque modèle est unique</p>",JOLANANAS,Apparel & Accessories > Jewelry > Jewelry Sets,"","",true,C,Coffret Cœur Citron (jaune),,,,,,,,,0.0,shopify,1,deny,manual,20.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-8285.heic?v=1771422914,1,"",false,,,adultes; enfants,,,orange; rose; bleu; jaune,,,,polymere; acier-inoxydable,bijoux-pate-polymere,,,,feminin,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-8285.heic?v=1771422914,kg,,,active
coffret-parure-coeur-bracelet-boucles-assorties-fait-main,,,,,,,,,Coffret Cœur Bonbon (rose),,,,,,,,,0.0,shopify,1,deny,manual,20.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-8283.heic?v=1771422970,2,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-8283.heic?v=1771422970,kg,,,
coffret-parure-coeur-bracelet-boucles-assorties-fait-main,,,,,,,,,Coffret Cœur Sunset (orange),,,,,,,,,0.0,shopify,1,deny,manual,20.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-8281.heic?v=1771423010,3,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-8281.heic?v=1771423010,kg,,,
coffret-parure-coeur-bracelet-boucles-assorties-fait-main,,,,,,,,,Coffret Cœur Océan (bleu),,,,,,,,,0.0,shopify,1,deny,manual,20.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-8284.heic?v=1771423052,4,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-8284.heic?v=1771423052,kg,,,
✨-marque-page-en-resine-piece-unique,✨ Marque-page en résine – Pièce unique,"<p><span>Ce marque-page en résine est une véritable pièce unique, à la fois pratique et décorative. Chaque création est réalisée à la main, avec des jeux de couleurs, de paillettes ou d’inclusions qui rendent chaque modèle différent.</span></p>
<p><span>Pensé comme un accessoire de lecture original, il apporte une touche brillante et élégante à tes livres, tout en faisant un joli cadeau fait main.</span></p>
<p><span>✨ Aucun marque-page ne ressemble à un autre.</span></p>
<p><span>Détails :</span></p>
<p> </p>
<ul>
<li><span>Marque-page en résine</span></li>
<li><span>Pièce unique</span></li>
<li><span>Création artisanale</span></li>
<li><span>Vendu à l’unité</span></li>
</ul>
<p>💛 De légères variations peuvent apparaître, preuve d’un travail entièrement fait à la main.<br><span></span></p>
<p> </p>",JOLANANAS,Office Supplies > Book Accessories > Bookmarks,Marque-page,"",true,Marque-page,Marque-page 🪶résine marron doré,,,,,,,,,0.0,shopify,1,deny,manual,9.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/FullSizeRender.heic?v=1770189145,1,"",false,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/FullSizeRender.heic?v=1770189145,kg,,,active
✨-marque-page-en-resine-piece-unique,,,,,,,,,Marque-page 🪶résine blanc/ feuille d’or,,,,,,,,,0.0,shopify,1,deny,manual,9.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/FullSizeRender_41c6691d-5293-469a-9213-a298c396a623.heic?v=1770189350,2,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/FullSizeRender_41c6691d-5293-469a-9213-a298c396a623.heic?v=1770189350,kg,,,
✨-marque-page-en-resine-piece-unique,,,,,,,,,Marque-page 🪶fleurs séchées,,,,,,,,,0.0,shopify,1,deny,manual,9.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/FullSizeRender_37a8bdc8-dca1-47c1-b24c-92d0e24b3a07.heic?v=1770189371,3,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/FullSizeRender_37a8bdc8-dca1-47c1-b24c-92d0e24b3a07.heic?v=1770189371,kg,,,
✨-marque-page-en-resine-piece-unique,,,,,,,,,Marque-page 🪶rose/bleu,,,,,,,,,0.0,shopify,1,deny,manual,9.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/FullSizeRender_d519ed92-dd61-4c18-8e30-45243006cab9.heic?v=1770189433,4,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/FullSizeRender_d519ed92-dd61-4c18-8e30-45243006cab9.heic?v=1770189433,kg,,,
✨-marque-page-en-resine-piece-unique,,,,,,,,,Marque-page 🪶noir / feuille d’or,,,,,,,,,0.0,shopify,1,deny,manual,9.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/FullSizeRender_58e46318-871e-430a-95ad-7d10db3c4a60.heic?v=1770189482,5,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/FullSizeRender_58e46318-871e-430a-95ad-7d10db3c4a60.heic?v=1770189482,kg,,,
✨-marque-page-en-resine-piece-unique,,,,,,,,,Marque-page 🪶rose/rouge,,,,,,,,,0.0,shopify,1,deny,manual,9.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/FullSizeRender_9ffec457-b38e-4ef0-aa53-1e288f7bdebe.heic?v=1770189528,6,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/FullSizeRender_9ffec457-b38e-4ef0-aa53-1e288f7bdebe.heic?v=1770189528,kg,,,
